winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_1_lands,seat_0_board_size,seat_1_board_size
0,DeathDescription.LIFETOTAL,10,26.362895965576172,6,2,5,0
0,DeathDescription.LIFETOTAL,10,30.312776565551758,6,3,4,4
0,DeathDescription.LIFETOTAL,12,30.007362365722656,7,6,5,5
1,DeathDescription.LIFETOTAL,11,26.125431060791016,3,3,0,5
1,DeathDescription.LIFETOTAL,11,21.15941047668457,3,3,2,5
0,DeathDescription.LIFETOTAL,10,32.784461975097656,4,5,5,2
1,DeathDescription.LIFETOTAL,11,28.32961082458496,6,6,4,6
0,DeathDescription.LIFETOTAL,10,25.717973709106445,5,5,5,3
1,DeathDescription.LIFETOTAL,13,23.764371871948242,4,6,0,6
0,DeathDescription.LIFETOTAL,10,44.751882553100586,6,5,5,4
0,DeathDescription.LIFETOTAL,10,26.515722274780273,4,5,5,3
1,DeathDescription.LIFETOTAL,13,44.17109489440918,5,7,0,5
0,DeathDescription.LIFETOTAL,10,42.77682304382324,4,4,5,4
0,DeathDescription.LIFETOTAL,12,34.4541072845459,6,6,6,2
1,DeathDescription.LIFETOTAL,13,40.11082649230957,5,5,5,4
0,DeathDescription.LIFETOTAL,12,22.763490676879883,5,5,6,2
0,DeathDescription.LIFETOTAL,16,33.64872932434082,5,8,5,3
0,DeathDescription.LIFETOTAL,12,59.978485107421875,5,6,6,2
0,DeathDescription.LIFETOTAL,10,32.4862003326416,5,5,5,1
0,DeathDescription.LIFETOTAL,10,27.292251586914062,5,5,5,3
0,DeathDescription.LIFETOTAL,10,21.315574645996094,6,4,5,4
0,DeathDescription.LIFETOTAL,10,29.283761978149414,6,3,5,4
0,DeathDescription.LIFETOTAL,12,23.566007614135742,5,6,5,4
1,DeathDescription.LIFETOTAL,11,46.9365119934082,6,6,4,5
0,DeathDescription.LIFETOTAL,10,20.140886306762695,4,5,5,3
1,DeathDescription.LIFETOTAL,11,27.90522575378418,4,6,1,5
0,DeathDescription.LIFETOTAL,10,28.88655662536621,5,5,6,3
0,DeathDescription.LIFETOTAL,12,38.002967834472656,5,4,6,5
0,DeathDescription.LIFETOTAL,10,26.58557891845703,5,3,5,0
1,DeathDescription.LIFETOTAL,11,54.39901351928711,6,6,3,5
0,DeathDescription.LIFETOTAL,10,21.956920623779297,5,4,5,4
0,DeathDescription.LIFETOTAL,10,31.677961349487305,6,5,5,4
1,DeathDescription.LIFETOTAL,11,28.43761444091797,5,5,5,6
1,DeathDescription.LIFETOTAL,11,44.8760986328125,6,6,4,5
1,DeathDescription.LIFETOTAL,13,29.287099838256836,6,5,6,5
1,DeathDescription.LIFETOTAL,13,28.646469116210938,4,5,3,6
0,DeathDescription.LIFETOTAL,10,41.79644584655762,5,4,5,3
0,DeathDescription.LIFETOTAL,10,33.09011459350586,5,5,5,3
1,DeathDescription.LIFETOTAL,13,31.258821487426758,4,5,3,5
0,DeathDescription.LIFETOTAL,10,26.263952255249023,4,4,5,3
0,DeathDescription.LIFETOTAL,12,22.64714241027832,5,6,5,3
1,DeathDescription.LIFETOTAL,15,53.55548858642578,4,6,4,8
1,DeathDescription.LIFETOTAL,11,22.43804931640625,5,5,4,5
1,DeathDescription.LIFETOTAL,13,23.801088333129883,3,4,2,5
0,DeathDescription.LIFETOTAL,12,23.88167381286621,6,6,5,4
1,DeathDescription.LIFETOTAL,13,35.338401794433594,4,7,4,4
1,DeathDescription.LIFETOTAL,11,26.12924575805664,4,6,4,5
0,DeathDescription.LIFETOTAL,10,26.516437530517578,6,5,4,2
1,DeathDescription.LIFETOTAL,11,21.369218826293945,6,5,3,6
0,DeathDescription.LIFETOTAL,10,28.219223022460938,3,3,5,2
1,DeathDescription.LIFETOTAL,11,43.28203201293945,4,4,0,5
0,DeathDescription.LIFETOTAL,12,22.999286651611328,4,5,4,2
1,DeathDescription.LIFETOTAL,13,26.57794952392578,6,7,2,6
1,DeathDescription.LIFETOTAL,11,39.97516632080078,6,6,3,4
0,DeathDescription.LIFETOTAL,10,29.06346321105957,5,5,5,4
0,DeathDescription.LIFETOTAL,10,26.014328002929688,5,5,5,3
0,DeathDescription.LIFETOTAL,10,26.418209075927734,6,4,6,4
0,DeathDescription.LIFETOTAL,10,26.848554611206055,4,4,5,3
1,DeathDescription.LIFETOTAL,11,43.25580596923828,4,4,4,5
1,DeathDescription.LIFETOTAL,11,21.1942195892334,5,6,4,5
0,DeathDescription.LIFETOTAL,10,45.08471488952637,6,5,5,4
1,DeathDescription.LIFETOTAL,13,27.268171310424805,3,7,0,5
0,DeathDescription.LIFETOTAL,10,38.25664520263672,5,4,5,4
0,DeathDescription.LIFETOTAL,10,47.272443771362305,6,5,6,0
0,DeathDescription.LIFETOTAL,10,40.89927673339844,6,4,5,2
0,DeathDescription.LIFETOTAL,10,44.62003707885742,6,5,4,2
0,DeathDescription.LIFETOTAL,10,21.472454071044922,4,5,5,4
0,DeathDescription.LIFETOTAL,10,21.51346206665039,6,4,6,3
1,DeathDescription.LIFETOTAL,11,21.666526794433594,3,4,1,6
0,DeathDescription.LIFETOTAL,10,53.01952362060547,5,5,5,2
1,DeathDescription.LIFETOTAL,11,38.9552116394043,4,6,4,4
0,DeathDescription.LIFETOTAL,10,30.680418014526367,6,5,5,4
0,DeathDescription.LIFETOTAL,12,21.898984909057617,6,6,4,3
1,DeathDescription.LIFETOTAL,11,59.83591079711914,5,6,3,5
0,DeathDescription.LIFETOTAL,10,57.65271186828613,6,5,5,3
1,DeathDescription.LIFETOTAL,11,27.788877487182617,4,6,4,5
0,DeathDescription.LIFETOTAL,10,20.885467529296875,6,4,4,3
0,DeathDescription.LIFETOTAL,12,35.506248474121094,5,6,5,3
1,DeathDescription.LIFETOTAL,15,31.57949447631836,7,8,5,6
1,DeathDescription.LIFETOTAL,11,27.492761611938477,5,6,5,4
0,DeathDescription.LIFETOTAL,12,27.013778686523438,5,4,5,0
0,DeathDescription.LIFETOTAL,10,56.223392486572266,6,5,4,3
0,DeathDescription.LIFETOTAL,12,24.150371551513672,5,3,5,3
0,DeathDescription.LIFETOTAL,10,22.339344024658203,6,5,4,4
0,DeathDescription.LIFETOTAL,10,34.10696983337402,5,5,5,3
0,DeathDescription.LIFETOTAL,10,37.882328033447266,6,5,5,4
1,DeathDescription.LIFETOTAL,11,32.54270553588867,6,6,3,5
1,DeathDescription.LIFETOTAL,13,34.68608856201172,3,7,0,6
0,DeathDescription.LIFETOTAL,10,29.609203338623047,6,5,5,3
1,DeathDescription.LIFETOTAL,11,22.141218185424805,6,3,3,5
0,DeathDescription.LIFETOTAL,10,41.87917709350586,4,5,5,4
0,DeathDescription.LIFETOTAL,10,26.69215202331543,6,5,4,2
0,DeathDescription.LIFETOTAL,10,42.2666072845459,5,5,5,3
1,DeathDescription.LIFETOTAL,11,32.250165939331055,5,6,3,6
1,DeathDescription.LIFETOTAL,11,26.961565017700195,3,5,0,5
0,DeathDescription.LIFETOTAL,10,37.870168685913086,6,5,6,3
1,DeathDescription.LIFETOTAL,11,28.214216232299805,4,5,3,5
1,DeathDescription.LIFETOTAL,11,22.22466468811035,4,6,4,5
0,DeathDescription.LIFETOTAL,10,28.100967407226562,5,5,5,3
0,DeathDescription.LIFETOTAL,10,27.804136276245117,6,5,4,3
0,DeathDescription.LIFETOTAL,10,37.038326263427734,3,5,4,4
0,DeathDescription.LIFETOTAL,12,33.59532356262207,3,6,5,5
0,DeathDescription.LIFETOTAL,12,35.88056564331055,6,6,6,3
0,DeathDescription.LIFETOTAL,12,33.05673599243164,6,6,5,2
0,DeathDescription.LIFETOTAL,10,24.762630462646484,4,5,6,4
0,DeathDescription.LIFETOTAL,10,27.611255645751953,6,5,4,4
0,DeathDescription.LIFETOTAL,12,49.51000213623047,7,6,5,4
