winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
1,DeathDescription.LIFETOTAL,11,28.506040573120117,4,5,3,6,5,2
0,DeathDescription.LIFETOTAL,10,26.472091674804688,5,4,3,3,4,5
0,DeathDescription.LIFETOTAL,12,29.517173767089844,5,6,2,5,5,3
1,DeathDescription.LIFETOTAL,13,31.017780303955078,7,5,1,6,6,2
0,DeathDescription.LIFETOTAL,10,27.715206146240234,6,5,1,4,4,4
1,DeathDescription.LIFETOTAL,11,32.33766555786133,5,2,5,6,4,3
0,DeathDescription.LIFETOTAL,10,25.19536018371582,5,5,2,4,3,5
0,DeathDescription.LIFETOTAL,12,28.313398361206055,6,5,2,6,4,3
0,DeathDescription.LIFETOTAL,10,30.64560890197754,6,5,1,5,3,4
0,DeathDescription.LIFETOTAL,10,39.88194465637207,6,4,2,4,4,4
0,DeathDescription.LIFETOTAL,10,36.194801330566406,6,5,1,4,0,7
1,DeathDescription.LIFETOTAL,11,22.036075592041016,4,2,6,5,5,3
1,DeathDescription.LIFETOTAL,11,48.471689224243164,5,5,2,5,5,3
0,DeathDescription.LIFETOTAL,10,25.483131408691406,6,3,3,4,4,4
0,DeathDescription.LIFETOTAL,12,37.981510162353516,7,4,2,4,4,5
0,DeathDescription.LIFETOTAL,10,35.20011901855469,4,4,4,5,5,2
0,DeathDescription.LIFETOTAL,10,27.282238006591797,5,6,1,5,4,3
0,DeathDescription.LIFETOTAL,10,43.86162757873535,3,4,5,5,3,4
0,DeathDescription.LIFETOTAL,10,23.21910858154297,6,5,1,5,3,4
0,DeathDescription.LIFETOTAL,10,26.99565887451172,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,20.96700668334961,4,4,4,5,4,3
0,DeathDescription.LIFETOTAL,12,40.76695442199707,7,4,2,6,4,3
1,DeathDescription.LIFETOTAL,11,26.36861801147461,5,3,4,5,5,3
0,DeathDescription.LIFETOTAL,12,28.27596664428711,4,5,4,6,1,6
1,DeathDescription.LIFETOTAL,13,30.507564544677734,7,4,2,5,6,2
0,DeathDescription.LIFETOTAL,10,32.65857696533203,6,5,1,2,0,7
1,DeathDescription.LIFETOTAL,11,40.143728256225586,6,3,3,6,5,2
0,DeathDescription.LIFETOTAL,10,20.856857299804688,6,5,1,5,2,5
1,DeathDescription.LIFETOTAL,11,28.127431869506836,4,2,6,5,5,3
1,DeathDescription.LIFETOTAL,13,36.351919174194336,5,2,6,5,5,4
0,DeathDescription.LIFETOTAL,10,32.88745880126953,5,4,3,4,4,4
1,DeathDescription.LIFETOTAL,11,22.295236587524414,5,5,2,4,4,5
1,DeathDescription.LIFETOTAL,11,42.4501895904541,4,4,4,6,4,3
0,DeathDescription.LIFETOTAL,12,47.84512519836426,6,5,2,5,2,5
0,DeathDescription.LIFETOTAL,12,24.43718910217285,5,5,3,6,1,6
1,DeathDescription.LIFETOTAL,11,37.99629211425781,5,2,5,6,5,2
0,DeathDescription.LIFETOTAL,10,27.087688446044922,4,5,3,5,3,4
0,DeathDescription.LIFETOTAL,10,34.735679626464844,5,6,1,5,4,3
0,DeathDescription.LIFETOTAL,10,28.66220474243164,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,14,25.696992874145508,5,5,4,5,3,5
0,DeathDescription.LIFETOTAL,12,24.0633487701416,3,4,6,6,4,3
0,DeathDescription.LIFETOTAL,10,31.7995548248291,5,6,1,5,3,4
1,DeathDescription.LIFETOTAL,11,35.1405143737793,4,4,4,6,5,2
1,DeathDescription.LIFETOTAL,11,26.416540145874023,4,3,5,6,6,1
0,DeathDescription.LIFETOTAL,10,26.40676498413086,3,4,5,5,3,4
0,DeathDescription.LIFETOTAL,12,55.91130256652832,6,6,1,3,4,5
1,DeathDescription.LIFETOTAL,13,24.892807006835938,5,4,4,7,6,1
0,DeathDescription.LIFETOTAL,10,21.15488052368164,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,12,29.77752685546875,7,5,1,6,3,4
0,DeathDescription.LIFETOTAL,10,38.726806640625,5,5,2,5,3,4
0,DeathDescription.LIFETOTAL,10,52.014827728271484,6,5,1,5,5,2
0,DeathDescription.LIFETOTAL,12,28.182506561279297,6,6,1,6,4,3
1,DeathDescription.LIFETOTAL,13,24.892330169677734,7,2,4,7,6,1
0,DeathDescription.LIFETOTAL,10,46.76985740661621,5,5,2,5,3,4
1,DeathDescription.LIFETOTAL,11,28.43165397644043,6,4,2,6,5,2
0,DeathDescription.LIFETOTAL,10,21.660804748535156,3,4,5,3,3,5
1,DeathDescription.LIFETOTAL,11,27.896642684936523,6,4,2,5,5,3
0,DeathDescription.LIFETOTAL,10,39.21389579772949,6,4,2,5,2,5
